Org_ID,Org_Acronym,Org_Name,Org_Full_Name
ORG151,ICS,INTELLIGENCE COMMUNITY STANDARD,INTELLIGENCE COMMUNITY STANDARD (ICS)
ORG152,IDEM,INDIANA DEPARTMENT OF ENVIRONMENTAL MANAGEMENT,INDIANA DEPARTMENT OF ENVIRONMENTAL MANAGEMENT (IDEM)
ORG153,IEC,INTERNATIONAL ELECTROTECHNICAL COMMISSION,INTERNATIONAL ELECTROTECHNICAL COMMISSION (IEC)
ORG154,IEEE,INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS,INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS (IEEE)
ORG155,IEPA,ILLINOIS ENVIRONMENTAL PROTECTION AGENCY,ILLINOIS ENVIRONMENTAL PROTECTION AGENCY (IEPA)
ORG156,IES,ILLUMINATING ENGINEERING SOCIETY,ILLUMINATING ENGINEERING SOCIETY (IES)
ORG157,IEST,INSTITUTE OF ENVIRONMENTAL SCIENCES AND TECHNOLOGY,INSTITUTE OF ENVIRONMENTAL SCIENCES AND TECHNOLOGY (IEST)
ORG158,IETF,INTERNET ENGINEERING TASK FORCE,INTERNET ENGINEERING TASK FORCE (IETF)
ORG159,IGMA,INSULATING GLASS MANUFACTURERS ALLIANCE,INSULATING GLASS MANUFACTURERS ALLIANCE (IGMA)
ORG160,IGSHPA,INTERNATIONAL GROUND SOURCE HEAT PUMP ASSOCIATION,INTERNATIONAL GROUND SOURCE HEAT PUMP ASSOCIATION (IGSHPA)
ORG161,IIAR,INTERNATIONAL INSTITUTE OF AMMONIA REFRIGERATION,INTERNATIONAL INSTITUTE OF AMMONIA REFRIGERATION (IIAR)
ORG162,IICRC,"INSTITUTE OF INSPECTION, CLEANING, AND RESTORATION CERTIFICATION","INSTITUTE OF INSPECTION, CLEANING, AND RESTORATION CERTIFICATION (IICRC)"
ORG163,ISA,INTERNATIONAL SOCIETY OF AUTOMATION,INTERNATIONAL SOCIETY OF AUTOMATION (ISA)
ORG164,ISEA,INTERNATIONAL SAFETY EQUIPMENT ASSOCIATION,INTERNATIONAL SAFETY EQUIPMENT ASSOCIATION (ISEA)
ORG165,ISO,INTERNATIONAL ORGANIZATION FOR STANDARDIZATION,INTERNATIONAL ORGANIZATION FOR STANDARDIZATION (ISO)
ORG166,IWCA,INTERNATIONAL WINDOW CLEANING ASSOCIATION,INTERNATIONAL WINDOW CLEANING ASSOCIATION (IWCA)
ORG167,JSA,Japanese Standards Association,Japanese Standards Association (JSA)
ORG168,LHBH,L.H. BAILEY HORTORIUM,L.H. BAILEY HORTORIUM (LHBH)
ORG169,LonMark,LONMARK INTERNATIONAL,LONMARK INTERNATIONAL (LonMark)
ORG170,MA,MIDDLE ATLANTIC PRODUCTS,MIDDLE ATLANTIC PRODUCTS (MA)
ORG171,MBMA,METAL BUILDING MANUFACTURERS ASSOCIATION,METAL BUILDING MANUFACTURERS ASSOCIATION (MBMA)
ORG172,MFMA,MAPLE FLOORING MANUFACTURERS ASSOCIATION,MAPLE FLOORING MANUFACTURERS ASSOCIATION (MFMA)
ORG173,MFMA,METAL FRAMING MANUFACTURERS ASSOCIATION,METAL FRAMING MANUFACTURERS ASSOCIATION (MFMA)
ORG174,MHI,MATERIAL HANDLING INDUSTRY OF AMERICA,MATERIAL HANDLING INDUSTRY OF AMERICA (MHI)
ORG175,MIA,MARBLE INSTITUTE OF AMERICA,MARBLE INSTITUTE OF AMERICA (MIA)
ORG176,MICA,MIDWEST INSULATION CONTRACTORS ASSOCIATION,MIDWEST INSULATION CONTRACTORS ASSOCIATION (MICA)
ORG177,MMPA,MOULDING AND MILLWORK PRODUCERS ASSOCIATION,MOULDING AND MILLWORK PRODUCERS ASSOCIATION (MMPA)
ORG178,MODBUS,"MODBUS ORGANIZATION, INC","MODBUS ORGANIZATION, INC (MODBUS)"
ORG179,MPI,MASTER PAINTERS INSTITUTE,MASTER PAINTERS INSTITUTE (MPI)
ORG180,MRCA,MIDWEST ROOFING CONTRACTORS ASSOCIATION,MIDWEST ROOFING CONTRACTORS ASSOCIATION (MRCA)
ORG181,MSS,MANUFACTURERS STANDARDIZATION SOCIETY OF THE VALVE AND FITTINGS INDUSTRY,MANUFACTURERS STANDARDIZATION SOCIETY OF THE VALVE AND FITTINGS INDUSTRY (MSS)
ORG182,NAAMM,NATIONAL ASSOCIATION OF ARCHITECTURAL METAL MANUFACTURERS,NATIONAL ASSOCIATION OF ARCHITECTURAL METAL MANUFACTURERS (NAAMM)
ORG183,NACE,NACE INTERNATIONAL,NACE INTERNATIONAL (NACE)
ORG184,NADCA,NATIONAL AIR DUCT CLEANERS ASSOCIATION,NATIONAL AIR DUCT CLEANERS ASSOCIATION (NADCA)
ORG185,NAIMA,NORTH AMERICAN INSULATION MANUFACTURERS ASSOCIATION,NORTH AMERICAN INSULATION MANUFACTURERS ASSOCIATION (NAIMA)
ORG186,NARA,U.S. NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,U.S. NATIONAL ARCHIVES AND RECORDS ADMINISTRATION (NARA)
ORG187,NATO,NORTH ATLANTIC TREATY ORGANIZATION,NORTH ATLANTIC TREATY ORGANIZATION (NATO)
ORG188,NAVFAC,U.S. NAVAL FACILITIES ENGINEERING SYSTEMS COMMAND,U.S. NAVAL FACILITIES ENGINEERING SYSTEMS COMMAND (NAVFAC)
ORG189,NAVFAC EXWC,NAVAL FACILITIES ENGINEERING AND EXPEDITIONARY WARFARE CENTER,NAVAL FACILITIES ENGINEERING AND EXPEDITIONARY WARFARE CENTER (NAVFAC EXWC)
ORG190,NAVSEA,U.S. NAVAL SEA SYSTEMS COMMAND,U.S. NAVAL SEA SYSTEMS COMMAND (NAVSEA)
ORG191,NBBI,NATIONAL BOARD OF BOILER AND PRESSURE VESSEL INSPECTORS,NATIONAL BOARD OF BOILER AND PRESSURE VESSEL INSPECTORS (NBBI)
ORG192,NCMA,NATIONAL CONCRETE MASONRY ASSOCIATION,NATIONAL CONCRETE MASONRY ASSOCIATION (NCMA)
ORG193,NCRP,NATIONAL COUNCIL ON RADIATION PROTECTION AND MEASUREMENTS,NATIONAL COUNCIL ON RADIATION PROTECTION AND MEASUREMENTS (NCRP)
ORG194,NCTA,NATIONAL CABLE AND TELECOMMUNICATIONS ASSOCIATION,NATIONAL CABLE AND TELECOMMUNICATIONS ASSOCIATION (NCTA)
ORG195,NDA,NATIONAL DRILLING ASSOCIATION,NATIONAL DRILLING ASSOCIATION (NDA)
ORG196,NEBB,NATIONAL ENVIRONMENTAL BALANCING BUREAU,NATIONAL ENVIRONMENTAL BALANCING BUREAU (NEBB)
ORG197,NECA,NATIONAL ELECTRICAL CONTRACTORS ASSOCIATION,NATIONAL ELECTRICAL CONTRACTORS ASSOCIATION (NECA)
ORG198,NEII,"NATIONAL ELEVATOR INDUSTRY, INC.","NATIONAL ELEVATOR INDUSTRY, INC. (NEII)"
ORG199,NELMA,NORTHEASTERN LUMBER MANUFACTURERS ASSOCIATION,NORTHEASTERN LUMBER MANUFACTURERS ASSOCIATION (NELMA)
ORG200,NEMA,NATIONAL ELECTRICAL MANUFACTURERS ASSOCIATION,NATIONAL ELECTRICAL MANUFACTURERS ASSOCIATION (NEMA)
ORG201,NETA,INTERNATIONAL ELECTRICAL TESTING ASSOCIATION,INTERNATIONAL ELECTRICAL TESTING ASSOCIATION (NETA)
ORG202,NFLPA,NATIONAL FLUID POWER ASSOCIATION,NATIONAL FLUID POWER ASSOCIATION (NFLPA)
ORG203,NFPA,NATIONAL FIRE PROTECTION ASSOCIATION,NATIONAL FIRE PROTECTION ASSOCIATION (NFPA)
ORG204,NFRC,NATIONAL FENESTRATION RATING COUNCIL,NATIONAL FENESTRATION RATING COUNCIL (NFRC)
ORG205,NHLA,NATIONAL HARDWOOD LUMBER ASSOCIATION,NATIONAL HARDWOOD LUMBER ASSOCIATION (NHLA)
ORG206,NIBS,NATIONAL INSTITUTE OF BUILDING SCIENCES,NATIONAL INSTITUTE OF BUILDING SCIENCES (NIBS)
ORG207,NICET,NATIONAL INSTITUTE FOR CERTIFICATION IN ENGINEERING TECHNOLOGIES,NATIONAL INSTITUTE FOR CERTIFICATION IN ENGINEERING TECHNOLOGIES (NICET)
ORG208,NIJ,NATIONAL INSTITUTE OF JUSTICE,NATIONAL INSTITUTE OF JUSTICE (NIJ)
ORG209,NIOSH,NATIONAL INSTITUTE FOR OCCUPATIONAL SAFETY AND HEALTH,NATIONAL INSTITUTE FOR OCCUPATIONAL SAFETY AND HEALTH (NIOSH)
ORG210,NIST,NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY,NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY (NIST)
ORG211,NLA,NATIONAL LIME ASSOCIATION,NATIONAL LIME ASSOCIATION (NLA)
ORG212,NMCPHC,NAVY AND MARINE CORPS PUBLIC HEALTH CENTER,NAVY AND MARINE CORPS PUBLIC HEALTH CENTER (NMCPHC)
ORG213,NPCA,NATIONAL PRECAST CONCRETE ASSOCIATION,NATIONAL PRECAST CONCRETE ASSOCIATION (NPCA)
ORG214,NPS,NATIONAL PARK SERVICE,NATIONAL PARK SERVICE (NPS)
ORG215,NRCA,NATIONAL ROOFING CONTRACTORS ASSOCIATION,NATIONAL ROOFING CONTRACTORS ASSOCIATION (NRCA)
ORG216,NRMCA,NATIONAL READY MIXED CONCRETE ASSOCIATION,NATIONAL READY MIXED CONCRETE ASSOCIATION (NRMCA)
ORG217,NSF,NSF INTERNATIONAL,NSF INTERNATIONAL (NSF)
ORG218,NSTISS,NATIONAL SECURITY TELECOMMUNICATIONS AND INFORMATION SYSTEMS SECURITY,NATIONAL SECURITY TELECOMMUNICATIONS AND INFORMATION SYSTEMS SECURITY (NSTISS)
ORG219,NT,NORDTEST,NORDTEST (NT)
ORG220,NTMA,NATIONAL TERRAZZO AND MOSAIC ASSOCIATION,NATIONAL TERRAZZO AND MOSAIC ASSOCIATION (NTMA)
ORG221,NWFA,NATIONAL WOOD FLOORING ASSOCIATION,NATIONAL WOOD FLOORING ASSOCIATION (NWFA) (formerly NOFMA)
ORG222,NYSDOT,NEW YORK STATE DEPARTMENT OF TRANSPORTATION MATERIALS BUREAU,NEW YORK STATE DEPARTMENT OF TRANSPORTATION MATERIALS BUREAU (NYSDOT)
ORG223,OECD,ORGANISATION FOR ECONOMIC CO-OPERATION AND DEVELOPMENT,ORGANISATION FOR ECONOMIC CO-OPERATION AND DEVELOPMENT (OECD)
ORG224,ONVIF,OPEN NETWORK VIDEO INTERFACE FORUM,OPEN NETWORK VIDEO INTERFACE FORUM (ONVIF)
ORG225,OPC,OPC FOUNDATION,OPC FOUNDATION (OPC)
ORG226,PALS,PLANT AND LIFE SCIENCES PUBLISHING,PLANT AND LIFE SCIENCES PUBLISHING (PALS)
ORG227,PCI,PRECAST/PRESTRESSED CONCRETE INSTITUTE,PRECAST/PRESTRESSED CONCRETE INSTITUTE (PCI)
ORG228,PDCA,PILE DRIVING CONTRACTORS ASSOCIATION,PILE DRIVING CONTRACTORS ASSOCIATION (PDCA)
ORG229,PDI,PLUMBING AND DRAINAGE INSTITUTE,PLUMBING AND DRAINAGE INSTITUTE (PDI)
ORG230,PEFC,PROGRAMME FOR ENDORSEMENT OF FOREST CERTIFICATION,PROGRAMME FOR ENDORSEMENT OF FOREST CERTIFICATION (PEFC)
ORG231,PEI,PETROLEUM EQUIPMENT INSTITUTE,PETROLEUM EQUIPMENT INSTITUTE (PEI)
ORG232,PEI,PORCELAIN ENAMEL INSTITUTE,PORCELAIN ENAMEL INSTITUTE (PEI)
ORG233,PHCC,PLUMBING-HEATING-COOLING CONTRACTORS ASSOCIATION,PLUMBING-HEATING-COOLING CONTRACTORS ASSOCIATION (PHCC)
ORG234,PHI,PASSIVE HOUSE INSTITUTE INTERNATIONAL,PASSIVE HOUSE INSTITUTE INTERNATIONAL (PHI)
ORG235,PHIUS,PASSIVE HOUSE INSTITUTE - US,PASSIVE HOUSE INSTITUTE - US (PHIUS)
ORG236,PHTA,POOL &amp; HOT TUB ALLIANCE,POOL &amp; HOT TUB ALLIANCE (PHTA)
ORG237,PIANC,INTERNATIONAL NAVIGATION ASSOCIATION,INTERNATIONAL NAVIGATION ASSOCIATION (PIANC)
ORG238,PMCA,PLUMBING AND MECHANICAL CONTRACTORS ASSOCIATION,PLUMBING AND MECHANICAL CONTRACTORS ASSOCIATION (PMCA)
ORG239,PPFA,PLASTIC PIPE AND FITTINGS ASSOCIATION,PLASTIC PIPE AND FITTINGS ASSOCIATION (PPFA)
ORG240,PPI,PLASTICS PIPE INSTITUTE,PLASTICS PIPE INSTITUTE (PPI)
ORG241,PSCAA,PUGET SOUND CLEAN AIR AGENCY,PUGET SOUND CLEAN AIR AGENCY (PSCAA)
ORG242,PTI,POST-TENSIONING INSTITUTE,POST-TENSIONING INSTITUTE (PTI)
ORG243,RCSC,RESEARCH COUNCIL ON STRUCTURAL CONNECTIONS,RESEARCH COUNCIL ON STRUCTURAL CONNECTIONS (RCSC)
ORG244,RFCI,RESILIENT FLOOR COVERING INSTITUTE,RESILIENT FLOOR COVERING INSTITUTE (RFCI)
ORG245,RIS,REDWOOD INSPECTION SERVICE,REDWOOD INSPECTION SERVICE (RIS) OF THE WESTERN WOOD PRODUCTS ASSOCIATION (WWPA)
ORG246,RMA,RUBBER MANUFACTURERS ASSOCIATION,RUBBER MANUFACTURERS ASSOCIATION (RMA)
ORG247,SAE,SOCIETY OF AUTOMOTIVE ENGINEERS INTERNATIONAL,SOCIETY OF AUTOMOTIVE ENGINEERS INTERNATIONAL (SAE)
ORG248,SAND,SANDIA NATIONAL LABORATORIES,SANDIA NATIONAL LABORATORIES (SAND)
ORG249,SCAQMD,SOUTH COAST AIR QUALITY MANAGEMENT DISTRICT,SOUTH COAST AIR QUALITY MANAGEMENT DISTRICT (SCAQMD)
ORG250,SCMA,SOUTHERN CYPRESS MANUFACTURERS ASSOCIATION,SOUTHERN CYPRESS MANUFACTURERS ASSOCIATION (SCMA)
ORG251,SCS,SCIENTIFIC CERTIFICATION SYSTEMS,SCIENTIFIC CERTIFICATION SYSTEMS (SCS)
ORG252,SCTE,SOCIETY OF CABLE TELECOMMUNICATIONS ENGINEERS,SOCIETY OF CABLE TELECOMMUNICATIONS ENGINEERS (SCTE)
ORG253,SD,U.S. DEPARTMENT OF STATE,U.S. DEPARTMENT OF STATE (SD)
ORG254,SDI,STEEL DECK INSTITUTE,STEEL DECK INSTITUTE (SDI)
ORG255,SDI/DOOR,STEEL DOOR INSTITUTE,STEEL DOOR INSTITUTE (SDI/DOOR)
ORG256,SFI,SUSTAINABLE FOREST INITIATIVE,SUSTAINABLE FOREST INITIATIVE (SFI)
ORG257,SJI,STEEL JOIST INSTITUTE,STEEL JOIST INSTITUTE (SJI)
ORG258,SMA,SCREEN MANUFACTURERS ASSOCIATION,SCREEN MANUFACTURERS ASSOCIATION (SMA)
ORG259,SMACNA,SHEET METAL AND AIR CONDITIONING CONTRACTORS' NATIONAL ASSOCIATION,SHEET METAL AND AIR CONDITIONING CONTRACTORS' NATIONAL ASSOCIATION (SMACNA)
ORG260,SPFA,SPRAY POLYURETHANE FOAM ALLIANCE,SPRAY POLYURETHANE FOAM ALLIANCE (SPFA)
ORG261,SPIB,SOUTHERN PINE INSPECTION BUREAU,SOUTHERN PINE INSPECTION BUREAU (SPIB)
ORG262,SPRI,SINGLE PLY ROOFING INDUSTRY,SINGLE PLY ROOFING INDUSTRY (SPRI)
ORG263,SRCC,SOLAR RATING AND CERTIFICATION CORPORATION,SOLAR RATING AND CERTIFICATION CORPORATION (SRCC)
ORG264,SSPC,SOCIETY FOR PROTECTIVE COATINGS,SOCIETY FOR PROTECTIVE COATINGS (SSPC)
ORG265,STI,STEEL TANK INSTITUTE,STEEL TANK INSTITUTE (STI)
ORG266,SWI,STEEL WINDOW INSTITUTE,STEEL WINDOW INSTITUTE (SWI)
ORG267,TAPPI,TECHNICAL ASSOCIATION OF THE PULP AND PAPER INDUSTRY,TECHNICAL ASSOCIATION OF THE PULP AND PAPER INDUSTRY (TAPPI)
ORG268,TCIA,TREE CARE INDUSTRY ASSOCIATION,TREE CARE INDUSTRY ASSOCIATION (TCIA)
ORG269,TCNA,TILE COUNCIL OF NORTH AMERICA,TILE COUNCIL OF NORTH AMERICA (TCNA)
ORG270,TEMA,TUBULAR EXCHANGER MANUFACTURERS ASSOCIATION,TUBULAR EXCHANGER MANUFACTURERS ASSOCIATION (TEMA)
ORG271,TIA,TELECOMMUNICATIONS INDUSTRY ASSOCIATION,TELECOMMUNICATIONS INDUSTRY ASSOCIATION (TIA)
ORG272,TMS,THE MASONRY SOCIETY,THE MASONRY SOCIETY (TMS)
ORG273,TPI,TRUSS PLATE INSTITUTE,TRUSS PLATE INSTITUTE (TPI)
ORG274,TPI,TURFGRASS PRODUCERS INTERNATIONAL,TURFGRASS PRODUCERS INTERNATIONAL (TPI)
ORG275,TRIDIUM,"TRIDIUM, INC","TRIDIUM, INC (TRIDIUM)"
ORG276,UBPPA,UNI-BELL PVC PIPE ASSOCIATION,UNI-BELL PVC PIPE ASSOCIATION (UBPPA)
ORG277,UL,UL SOLUTIONS,UL SOLUTIONS (UL)
ORG278,ULE,UL ENVIRONMENT,UL ENVIRONMENT (ULE)
ORG279,USACE,U.S. ARMY CORPS OF ENGINEERS,U.S. ARMY CORPS OF ENGINEERS (USACE)
ORG280,USAEC,U.S. ARMY ENVIRONMENTAL COMMAND,U.S. ARMY ENVIRONMENTAL COMMAND (USAEC)
ORG281,USAF,U.S. AIR FORCE,U.S. AIR FORCE (USAF)
ORG282,USC,U.S. Code,U.S. Code (USC)
ORG283,USDA,U.S. DEPARTMENT OF AGRICULTURE,U.S. DEPARTMENT OF AGRICULTURE (USDA)
ORG284,USGBC,U.S. GREEN BUILDING COUNCIL,U.S. GREEN BUILDING COUNCIL (USGBC)
ORG285,VAC,STATE OF VIRGINIA ADMINISTRATIVE CODE,STATE OF VIRGINIA ADMINISTRATIVE CODE (VAC)
ORG286,VISCMA,VIBRATION ISOLATION AND SEISMIC CONTROL MANUFACTURERS ASSOCIATION,VIBRATION ISOLATION AND SEISMIC CONTROL MANUFACTURERS ASSOCIATION (VISCMA)
ORG287,WA,WALLCOVERINGS ASSOCIATION,WALLCOVERINGS ASSOCIATION (WA)
ORG288,WAC,WASHINGTON STATE ADMINISTRATIVE CODE,WASHINGTON STATE ADMINISTRATIVE CODE (WAC)
ORG289,WCLIB,WEST COAST LUMBER INSPECTION BUREAU,WEST COAST LUMBER INSPECTION BUREAU (WCLIB)
ORG290,WDMA,WINDOW AND DOOR MANUFACTURERS ASSOCIATION,WINDOW AND DOOR MANUFACTURERS ASSOCIATION (WDMA)
ORG291,WDNR,WISCONSIN DEPARTMENT OF NATURAL RESOURCES,WISCONSIN DEPARTMENT OF NATURAL RESOURCES (WDNR)
ORG292,WEF,WATER ENVIRONMENT FEDERATION,WATER ENVIRONMENT FEDERATION (WEF)
ORG293,WI,WOODWORK INSTITUTE,WOODWORK INSTITUTE (WI)
ORG294,WQA,WATER QUALITY ASSOCIATION,WATER QUALITY ASSOCIATION (WQA)
ORG295,WRTB,WIRE ROPE TECHNICAL BOARD,WIRE ROPE TECHNICAL BOARD (WRTB)
ORG296,WSDE,WASHINGTON STATE DEPARTMENT OF ECOLOGY,WASHINGTON STATE DEPARTMENT OF ECOLOGY (WSDE)
ORG297,WWPA,WESTERN WOOD PRODUCTS ASSOCIATION,WESTERN WOOD PRODUCTS ASSOCIATION (WWPA)
ORG298,WWPI,WESTERN WOOD PRESERVERS INSTITUTE,WESTERN WOOD PRESERVERS INSTITUTE (WWPI)
ORG299,fib,INTERNATIONAL FEDERATION FOR STRUCTURAL CONCRETE,INTERNATIONAL FEDERATION FOR STRUCTURAL CONCRETE (fib)
